Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Inventory Value,Stock Status,Daily Demand,Demand Std,Safety Stock,Reorder Point,Reorder Alert,Annual Demand,EOQ,EOQ Category
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,4048.8643214427143,Normal,26.733333333333334,10.126002459692199,34.2923318829746,221.42566521630792,Reorder Needed,9624,438.7254266622804,High
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,786.7067335794701,Normal,24.533333333333335,10.126002459692199,70.99187154593554,806.9918715459355,Reorder Needed,8832,420.28561717003834,High
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,11.319683293090566,Low Stock,0.26666666666666666,10.126002459692199,40.98717614732122,43.653842813987886,Reorder Needed,96,43.81780460041329,Low
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,1406.7568893780679,Normal,2.7666666666666666,10.126002459692199,46.732570987385216,82.69923765405188,Reorder Needed,996,141.1382301150188,Low
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,24.027480181729466,Low Stock,29.033333333333335,10.126002459692199,22.449600944325518,109.54960094432553,Reorder Needed,10452,457.2089237974255,High
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,152.9978412479344,Normal,4.9,10.126002459692199,67.34880283297656,199.64880283297657,Reorder Needed,1764,187.82971010998233,Low
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,44.861661494187395,Low Stock,2.1666666666666665,10.126002459692199,50.19883377925533,82.69883377925532,Reorder Needed,780,124.89995996796796,Low
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,3995.129747568786,Normal,14.2,10.126002459692199,53.440739464416225,294.8407394644162,Reorder Needed,5112,319.74990226738146,Medium
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,343.58798374263665,Low Stock,5.0,10.126002459692199,40.98717614732122,90.98717614732122,Reorder Needed,1800,189.73665961010275,Low
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,896.2202611778996,Low Stock,32.666666666666664,10.126002459692199,67.34880283297656,949.3488028329764,Reorder Needed,11760,484.9742261192856,High
